"idhous" "sex" "birthyr" "nat_1_02" "plingu02" "p02r01" "p02r04" "cspfaj" "cspmoj" "wp00tbgp" "wp00tbgs" "idpers"
"2111" 119791 "woman" 1941 "Switzerland" "french" "Roman Catholic" "about once a month" "intermediate professions" "qualified non-manual professions" 1089.9296875 0.967295348644257 "2111"
"1671" 96161 "man" 1935 "Switzerland" "italian" "Roman Catholic" "religious celebrations and family events" "intermediate professions" NA 1087.06567382812 0.964753568172455 "1671"
"1622" 92831 "woman" 1957 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "academic professions and senior management" NA 693.732482910156 0.615676581859589 "1622"
"2145" 122231 "woman" 1935 "Switzerland" "french" "Roman Catholic" "once a week" "other self-employed" NA 1814.0390625 1.60993099212646 "2145"
"1099" 62041 "man" 1957 "Itally" "italian" NA NA "unqualified non-manual and manual workers" NA 1507.37963867188 1.33777558803558 "1099"
"649" 36441 "man" 1953 "Switzerland" "german" "Roman Catholic" "a few times a year" NA NA 821.647705078125 0.729199349880219 "649"
"403" 24071 "woman" 1922 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "academic professions and senior management" NA 1109.63500976562 0.984783470630646 "403"
"1323" 75011 "man" 1944 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "other self-employed" "other self-employed" 992.107482910156 0.880479693412781 "1323"
"1986" 112041 "woman" 1941 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 1531.74267578125 1.35939741134644 "1986"
"2511" 144221 "woman" 1942 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "qualified manual professions" NA 1624.029296875 1.44130027294159 "2511"
"294" 18041 "woman" 1942 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 1025.78649902344 0.910369277000427 "294"
"2210" 124791 "man" 1939 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 1287.72680664062 1.14283716678619 "2210"
"712" NA "woman" 1921 NA NA NA NA NA "other self-employed" 2171.80126953125 1.92743921279907 "712"
"2391" 137191 "woman" 1937 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" NA NA 1095.197265625 0.971970319747925 "2391"
"1847" 105301 "man" 1939 "Switzerland" "german" "Roman Catholic" "once a week" "intermediate professions" "unqualified non-manual and manual workers" 989.7607421875 0.878396987915039 "1847"
"547" 30621 "man" 1927 "Switzerland" NA NA NA "other self-employed" "other self-employed" 919.331604003906 0.815892279148102 "547"
"320" 19251 "woman" 1938 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "intermediate professions" NA 919.747985839844 0.816261827945709 "320"
"1123" 63171 "woman" 1923 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1025.39672851562 0.910023331642151 "1123"
"912" 51771 "man" 1941 "France and territories" NA NA NA "unqualified non-manual and manual workers" NA 1922.73950195312 1.70640087127686 "912"
"865" 48721 "woman" 1956 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" NA NA 593.156982421875 0.526417434215546 "865"
"1563" 89211 "man" 1945 "Switzerland" "german" "Roman Catholic" "a few times a year" NA NA 1675.99108886719 1.48741555213928 "1563"
"832" 47041 "woman" 1956 "Itally" "italian" "Christian Catholic" "once a week" NA NA 2457.45849609375 2.18095541000366 "832"
"163" 11921 "man" 1919 "Switzerland" NA NA NA NA NA 2824.001953125 2.50625705718994 "163"
"1843" 105171 "woman" 1928 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" NA NA 1105.05029296875 0.980714738368988 "1843"
"463" 26441 "man" 1950 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1588.79919433594 1.4100341796875 "463"
"1012" 57691 "man" 1955 "Switzerland" NA NA NA NA NA 1644.26989746094 1.45926356315613 "1012"
"743" NA "woman" 1952 NA NA NA NA "other self-employed" NA 949.668029785156 0.842815339565277 "743"
"873" 49411 "woman" 1948 "Switzerland" "french" "Roman Catholic" "religious celebrations and family events" "other self-employed" NA 1065.25854492188 0.94540011882782 "873"
"1325" 75111 "woman" 1946 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified manual professions" "qualified non-manual professions" 932.744262695312 0.827795803546906 "1325"
"2048" 116241 "man" 1937 "Switzerland" "french" NA NA "academic professions and senior management" NA 1794.11120605469 1.59224534034729 "2048"
"187" 13181 "man" 1917 "Switzerland" "french" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" NA 2374.13525390625 2.10700750350952 "187"
"724" 41221 "woman" 1941 "Switzerland" "german" "Roman Catholic" "once a week" NA "unqualified non-manual and manual workers" 1274.77880859375 1.13134598731995 "724"
"1528" 86781 "woman" 1953 NA NA NA NA NA NA 2151.75463867188 1.90964818000793 "1528"
"1243" 70841 "man" 1932 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" NA "other self-employed" 826.543701171875 0.7335444688797 "1243"
"1787" 102171 "man" 1927 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "other self-employed" NA 1257.35424804688 1.11588191986084 "1787"
"1445" 82671 "man" 1945 "Switzerland" NA NA NA NA NA 2057.61938476562 1.82610464096069 "1445"
"2352" 135161 "man" 1945 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "intermediate professions" NA 1213.41394042969 1.07688570022583 "2352"
"1029" 58551 "woman" 1927 "Switzerland" "french" "Protestant or Reformed Church" "once a week" "liberal professions" NA 1146.84838867188 1.01780986785889 "1029"
"991" 56511 "woman" 1943 "Switzerland" "french" NA NA "other self-employed" "other self-employed" 2120.20825195312 1.88165128231049 "991"
"1503" 85691 "woman" 1946 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "academic professions and senior management" NA 817.582641601562 0.725591719150543 "1503"
"1246" 70911 "man" 1948 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" NA NA 978.299255371094 0.86822509765625 "1246"
"1333" 75751 "man" 1926 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "qualified manual professions" NA 912.248352050781 0.809605956077576 "1333"
"1263" NA "woman" 1954 NA NA NA NA "academic professions and senior management" "qualified non-manual professions" 1468.388671875 1.30317163467407 "1263"
"503" 28261 "woman" 1939 "Itally" "german" "Roman Catholic" "religious celebrations and family events" NA NA 3142.67138671875 2.78907108306885 "503"
"1061" 59731 "woman" 1941 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" NA 1380.72387695312 1.22537064552307 "1061"
"1762" 101011 "woman" 1957 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" NA 640.007690429688 0.567996680736542 "1762"
"1223" 69301 "woman" 1942 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" NA NA 1219.15173339844 1.08197784423828 "1223"
"2062" 116981 "woman" 1950 "Switzerland" "french" "other" "only for family ceremonies" NA "other self-employed" 641.800598144531 0.569587886333466 "2062"
"1747" 100271 "woman" 1951 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "other self-employed" NA 605.115417480469 0.537030339241028 "1747"
"409" NA "man" 1946 NA NA NA NA "other self-employed" "other self-employed" 925.160827636719 0.821065604686737 "409"
"149" 10921 "woman" 1945 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" NA 1466.86779785156 1.30182194709778 "149"
"1609" 92261 "man" 1954 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 1776.7705078125 1.57685565948486 "1609"
"663" 37391 "woman" 1926 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "intermediate professions" NA 1457.33166503906 1.29335880279541 "663"
"43" 5371 "woman" 1947 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" NA NA 636.885986328125 0.565226256847382 "43"
"1987" 112091 "man" 1941 "Austria" "german" "Roman Catholic" "only for family ceremonies" NA "qualified non-manual professions" 4302.39599609375 3.81830835342407 "1987"
"1052" 59191 "man" 1951 "Switzerland" "french" "Roman Catholic" "once a week" "intermediate professions" NA 757.741271972656 0.672483384609222 "1052"
"1649" 94351 "man" 1943 "Switzerland" "german" NA NA "other self-employed" NA 1320.03930664062 1.17151403427124 "1649"
"549" 30641 "woman" 1937 "Itally" "italian" "Roman Catholic" "about once a month" NA NA 2887.46655273438 2.56258082389832 "549"
"2490" NA "woman" 1947 NA NA NA NA "unqualified non-manual and manual workers" "unqualified non-manual and manual workers" 1078.27307128906 0.956950306892395 "2490"
"2278" 129871 "woman" 1928 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 1489.1728515625 1.32161736488342 "2278"
"110" 8761 "woman" 1928 "Switzerland" "french" "no denomination or religion" "never" "other self-employed" NA 1116.92224121094 0.991250813007355 "110"
"123" 9591 "woman" 1944 "Switzerland" "french" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" NA 1599.32116699219 1.41937232017517 "123"
"334" 20151 "man" 1937 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "qualified manual professions" NA 754.254821777344 0.669389247894287 "334"
"1835" 104671 "woman" 1947 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" NA NA 659.8798828125 0.585632920265198 "1835"
"568" 31901 "woman" 1940 "Germany" "german" "Protestant or Reformed Church" "never" "academic professions and senior management" "qualified manual professions" 2373.69873046875 2.10662007331848 "568"
"68" 6671 "man" 1950 "Yugoslavia" "french" NA NA "unqualified non-manual and manual workers" NA 3360.54370117188 2.98242950439453 "68"
"2596" 148801 "woman" 1930 "Switzerland" "italian" "Christian Catholic" "about once a month" "other self-employed" NA 892.141845703125 0.791761755943298 "2596"
"63" 6471 "woman" 1955 "Switzerland" "french" "Roman Catholic" "only for religious celebrations" NA NA 931.988403320312 0.827125012874603 "63"
"1552" 88451 "woman" 1925 "Switzerland" "german" "Christian Catholic" "once a week" "other self-employed" "other self-employed" 1178.53552246094 1.04593169689178 "1552"
"1838" 104841 "man" 1953 "Switzerland" "italian" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" "unqualified non-manual and manual workers" 1900.25451660156 1.6864458322525 "1838"
"2083" 117611 "woman" 1941 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" NA NA 1018.12432861328 0.903569281101227 "2083"
"910" 51631 "woman" 1954 "Switzerland" "french" "no denomination or religion" "never" "intermediate professions" "intermediate professions" 641.494567871094 0.569316267967224 "910"
"513" 28571 "man" 1957 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "intermediate professions" NA 1188.37048339844 1.05465996265411 "513"
"1111" 62771 "woman" 1941 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "other self-employed" "other self-employed" 1392.33837890625 1.23567831516266 "1111"
"725" 41351 "man" 1925 "Switzerland" "german" "Roman Catholic" "once a week" "other self-employed" NA 1023.45477294922 0.90829998254776 "725"
"924" 52731 "man" 1919 "Switzerland" "german" "Protestant or Reformed Church" "never" NA "unqualified non-manual and manual workers" 986.643493652344 0.875630497932434 "924"
"891" 50461 "woman" 1927 "Switzerland" "french" "Protestant or Reformed Church" "once a week" "unqualified non-manual and manual workers" NA 997.367065429688 0.885147511959076 "891"
"1502" 85691 "man" 1944 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" NA "unqualified non-manual and manual workers" 884.745178222656 0.785197377204895 "1502"
"2153" 122621 "woman" 1949 "Switzerland" "french" "Protestant or Reformed Church" "once a week" "other self-employed" NA 610.56298828125 0.541864991188049 "2153"
"1971" 110661 "man" 1933 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "other self-employed" NA 825.280822753906 0.732423663139343 "1971"
"1529" 86911 "man" 1940 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" "other self-employed" 946.966735839844 0.840418040752411 "1529"
"677" 37971 "woman" 1951 "Switzerland" "german" "Protestant or Reformed Church" "every two weeks" "unqualified non-manual and manual workers" NA 732.51123046875 0.65009218454361 "677"
"1059" 59651 "man" 1942 "Switzerland" "french" "no denomination or religion" "only for family ceremonies" "intermediate professions" NA 1092.44519042969 0.969527840614319 "1059"
"1761" 101011 "man" 1955 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "other self-employed" 665.850524902344 0.590931832790375 "1761"
"1557" 88861 "man" 1949 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "other self-employed" 1142.53039550781 1.01397776603699 "1557"
"250" NA "woman" 1946 NA NA NA NA "other self-employed" NA 667.998291015625 0.592837929725647 "250"
"564" 31421 "woman" 1952 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "intermediate professions" NA 757.47119140625 0.672243654727936 "564"
"768" 43861 "man" 1953 "Switzerland" "italian" "Roman Catholic" "once a week" NA "unqualified non-manual and manual workers" 637.014770507812 0.565340518951416 "768"
